CHAPTER	O
ONE	O
PLAYING	O
PILGRIMS	B-PER
"	O
Christmas	O
wo	O
n't	O
be	O
Christmas	O
without	O
any	O
presents	O
,	O
"	O
grumbled	O
Jo	B-PER
,	O
lying	O
on	O
the	O
rug	O
.	O

"	O
It	O
's	O
so	O
dreadful	O
to	O
be	O
poor	O
!	O
"	O

sighed	O
Meg	B-PER
,	O
looking	O
down	O
at	O
her	O
old	O
dress	O
.	O

"	O
I	O
do	O
n't	O
think	O
it	O
's	O
fair	O
for	O
some	B-PER
girls	I-PER
to	O
have	O
plenty	O
of	O
pretty	O
things	O
,	O
and	O
other	B-PER
girls	I-PER
nothing	O
at	O
all	O
,	O
"	O
added	O
little	B-PER
Amy	I-PER
,	O
with	O
an	O
injured	O
sniff	O
.	O

"	O
We	O
've	O
got	O
Father	B-PER
and	O
Mother	B-PER
,	O
and	O
each	B-PER
other	I-PER
,	O
"	O
said	O
Beth	B-PER
contentedly	O
from	O
her	O
corner	O
.	O

The	B-PER
four	I-PER
young	I-PER
faces	I-PER
on	I-PER
which	I-PER
the	I-PER
firelight	I-PER
shone	I-PER
brightened	O
at	O
the	O
cheerful	O
words	O
,	O
but	O
darkened	O
again	O
as	O
Jo	B-PER
said	O
sadly	O
,	O
"	O
We	O
have	O
n't	O
got	O
Father	B-PER
,	O
and	O
shall	O
not	O
have	O
him	O
for	O
a	O
long	O
time	O
.	O
"	O

She	O
did	O
n't	O
say	O
"	O
perhaps	O
never	O
,	O
"	O
but	O
each	O
silently	O
added	O
it	O
,	O
thinking	O
of	O
Father	B-PER
far	O
away	O
,	O
where	O
the	O
fighting	O
was	O
.	O

Nobody	B-PER
spoke	O
for	O
a	O
minute	O
;	O
then	O
Meg	B-PER
said	O
in	O
an	O
altered	O
tone	O
,	O
"	O
You	O
know	O
the	O
reason	O
Mother	B-PER
proposed	O
not	O
having	O
any	O
presents	O
this	B-PER
Christmas	I-PER
was	O
because	O
it	O
is	O
going	O
to	O
be	O
a	O
hard	O
winter	O
for	O
everyone	B-PER
;	O
and	O
she	O
thinks	O
we	O
ought	O
not	O
to	O
spend	O
money	O
for	O
pleasure	O
,	O
when	O
our	B-PER
men	I-PER
are	O
suffering	O
so	O
in	O
the	O
army	O
.	O

We	O
ca	O
n't	O
do	O
much	O
,	O
but	O
we	O
can	O
make	O
our	O
little	O
sacrifices	O
,	O
and	O
ought	O
to	O
do	O
it	O
gladly	O
.	O

But	O
I	O
am	O
afraid	O
I	O
do	O
n't	O
,	O
"	O
and	O
Meg	B-PER
shook	O
her	O
head	O
,	O
as	O
she	O
thought	O
regretfully	O
of	O
all	O
the	O
